Local TimeFreq mean	I 4 mean	I a mean	I avg mean	I b mean	I c mean	kVA tot mean	kVAR tot mean	kW tot mean	PF lag mean	PF lead mean	V unbal mean	Vll ab mean	Vll avg mean	Vll bc mean	Vll ca mean
01-05-2024 00:00:0059.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.34	34889.51	34796.50	34796.27	34703.75
01-05-2024 00:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.40	35010.00	34891.01	34883.03	34779.93
01-05-2024 00:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.38	35068.91	34963.90	34962.86	34859.97
01-05-2024 00:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.38	35105.41	35000.03	34995.65	34899.09
01-05-2024 01:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.35	35160.11	35059.13	35047.75	34969.47
01-05-2024 01:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.35	35231.78	35130.09	35122.16	35036.33
01-05-2024 01:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.36	35231.34	35127.85	35119.21	35033.01
01-05-2024 01:45:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.35	35239.47	35139.72	35128.90	35050.82
01-05-2024 02:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.34	35303.54	35208.91	35205.27	35117.90
01-05-2024 02:15:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.35	35358.38	35261.39	35257.46	35168.31
01-05-2024 02:30:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.35	35415.38	35321.04	35318.36	35229.41
01-05-2024 02:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.34	35490.73	35398.89	35397.00	35308.95
01-05-2024 03:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.34	35408.63	35314.00	35312.69	35220.81
01-05-2024 03:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.33	35011.95	34914.54	34915.93	34815.63
01-05-2024 03:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.32	35015.68	34920.85	34923.33	34823.55
01-05-2024 03:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.33	35039.80	34937.66	34933.72	34839.54
01-05-2024 04:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.32	35019.90	34919.39	34914.73	34823.52
01-05-2024 04:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.31	35030.10	34931.38	34924.13	34839.90
01-05-2024 04:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.31	35061.72	34965.84	34959.51	34876.35
01-05-2024 04:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.32	34981.55	34884.49	34882.12	34789.83
01-05-2024 05:00:0060.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.31	34952.89	34858.50	34853.93	34768.71
01-05-2024 05:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.28	34904.99	34815.48	34808.49	34733.01
01-05-2024 05:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.32	35031.71	34919.45	34908.94	34817.61
01-05-2024 05:45:0060.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.28	35116.34	35014.09	35006.57	34919.32
01-05-2024 06:00:0060.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.26	35113.32	35019.92	35020.45	34926.07
01-05-2024 06:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.26	35038.90	34947.47	34942.46	34861.01
01-05-2024 06:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.25	34820.19	34734.83	34723.53	34660.79
01-05-2024 06:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.25	34689.87	34597.84	34585.51	34518.08
01-05-2024 07:00:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.25	35111.30	35020.50	34990.76	34959.39
01-05-2024 07:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.30	35582.94	35478.33	35448.10	35403.92
01-05-2024 07:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.24	35789.29	35716.40	35704.78	35655.19
01-05-2024 07:45:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.18	35786.81	35733.45	35724.39	35689.04
01-05-2024 08:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.21	35752.91	35679.05	35664.54	35619.83
01-05-2024 08:15:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.24	35596.86	35514.09	35510.18	35435.21
